Date,Open,High,Low,Close,Adj Close,Volume
2019-10-11,2091.500000,2101.000000,2076.100098,2091.500000,1988.540283,49577
2019-10-14,2090.000000,2123.899902,2055.100098,2090.000000,1987.114136,140000
2019-10-15,2075.000000,2099.600098,2050.000000,2075.000000,1972.852539,328521
2019-10-16,2080.000000,2096.000000,2058.000000,2080.000000,1977.606445,763364
2019-10-17,2070.000000,2083.199951,2070.000000,2070.000000,1968.098755,217818
2019-10-18,2060.000000,2070.100098,2054.199951,2060.000000,1958.591064,126896
2019-10-21,1950.000000,2021.000000,1900.000000,1950.000000,1854.006104,88473
2019-10-22,1960.000000,1972.000000,1905.000000,1960.000000,1863.513794,148828
2019-10-23,1960.000000,1975.000000,1930.000000,1960.000000,1863.513794,177130
2019-10-24,2019.000000,2019.000000,1940.000000,2019.000000,1919.609375,22986
2019-10-25,1980.000000,2015.000000,1955.000000,1980.000000,1882.529297,203953
2019-10-28,1980.000000,1980.000000,1950.500000,1980.000000,1882.529297,44649
2019-10-29,1965.000000,2015.000000,1940.000000,1965.000000,1868.267578,107464
2019-10-30,1950.000000,1960.000000,1850.099976,1950.000000,1854.006104,666207
2019-11-04,1952.699951,2040.000000,1945.000000,1952.699951,1856.573120,137635
2019-11-05,1849.000000,1953.400024,1815.000000,1849.000000,1757.978027,205290
2019-11-06,1790.000000,1830.000000,1751.000000,1790.000000,1701.882446,61755
2019-11-07,1796.000000,1814.199951,1760.000000,1796.000000,1707.587036,409205
2019-11-08,1795.000000,1818.900024,1750.300049,1795.000000,1706.636353,89304
2019-11-11,1728.000000,1785.000000,1712.000000,1728.000000,1642.934692,129433
2019-11-12,1720.000000,1760.000000,1615.099976,1720.000000,1635.328491,387847
2019-11-13,1640.000000,1720.000000,1623.300049,1640.000000,1559.266602,176888
2019-11-14,1642.500000,1679.000000,1630.000000,1642.500000,1561.643677,58508
2019-11-15,1850.000000,2000.000000,1670.000000,1850.000000,1758.928955,102878
2019-11-18,1810.000000,1870.000000,1739.000000,1810.000000,1720.897949,220582
2019-11-19,1847.900024,1849.000000,1770.000000,1847.900024,1756.932251,31127
2019-11-20,1909.000000,1930.000000,1805.699951,1909.000000,1815.024414,325003
2019-11-21,1863.699951,1930.000000,1825.500000,1863.699951,1771.954346,54542
2019-11-22,1804.000000,1927.000000,1750.099976,1804.000000,1715.193237,251810
2019-11-25,1799.000000,1894.900024,1771.199951,1799.000000,1710.439453,296310
2019-11-26,1800.000000,1827.800049,1724.400024,1800.000000,1711.390259,1436889
2019-11-27,1750.000000,1828.000000,1700.099976,1750.000000,1663.851563,202453
2019-11-28,1719.900024,1780.000000,1691.000000,1701.699951,1617.929199,5660
2019-11-29,1725.000000,1778.000000,1700.400024,1725.000000,1640.082275,51125
2019-12-02,1760.099976,1798.900024,1700.000000,1773.599976,1686.289795,7090
2019-12-03,1750.000000,1770.000000,1741.000000,1750.000000,1663.851563,256478
2019-12-04,1776.300049,1789.000000,1750.000000,1776.300049,1688.856934,409173
2019-12-05,1820.000000,1849.000000,1762.000000,1820.000000,1730.405640,126104
2019-12-06,1835.000000,1848.000000,1801.000000,1835.000000,1744.667236,33734
2019-12-09,1809.699951,1839.500000,1792.000000,1815.099976,1725.746826,120
2019-12-10,1777.000000,1830.000000,1775.000000,1777.000000,1689.522461,113295
2019-12-11,1789.500000,1813.900024,1762.199951,1780.000000,1692.374878,15842
2019-12-12,1800.000000,1805.000000,1721.300049,1800.000000,1711.390259,14448
2019-12-13,1788.800049,1839.800049,1770.500000,1788.800049,1700.741699,26870
2019-12-16,1811.500000,1811.500000,1745.099976,1811.500000,1722.324097,93455
2019-12-17,1808.000000,1830.000000,1772.000000,1808.000000,1718.996338,150600
2019-12-18,1772.000000,1800.000000,1751.000000,1772.000000,1684.768677,146887
2019-12-19,1799.900024,1799.900024,1756.000000,1799.900024,1711.295166,117194
2019-12-20,1827.000000,1827.000000,1760.500000,1827.000000,1737.061157,473468
2019-12-23,1800.000000,1809.900024,1761.000000,1800.000000,1711.390259,157071
2019-12-24,1790.000000,1800.000000,1765.400024,1789.599976,1701.502197,6170
2019-12-26,1800.000000,1809.000000,1771.699951,1800.000000,1711.390259,42674
2019-12-27,1850.000000,1850.000000,1800.000000,1850.000000,1758.928955,130417
2019-12-30,1849.900024,1850.000000,1801.699951,1849.900024,1758.833740,16304
2020-01-02,1880.000000,1885.000000,1835.000000,1880.000000,1787.452026,29204
2020-01-03,1899.000000,1903.000000,1850.000000,1899.000000,1805.516724,208782
2020-01-06,1920.000000,1920.000000,1850.500000,1920.000000,1825.482910,113514
2020-01-07,1950.000000,1950.000000,1920.300049,1950.000000,1854.006104,70738
2020-01-08,1978.000000,1979.599976,1920.000000,1978.000000,1880.627686,41064
2020-01-09,1947.500000,1955.000000,1926.000000,1947.500000,1851.629272,231169
2020-01-10,1998.900024,1998.900024,1946.900024,1998.900024,1900.498901,36929
2020-01-13,1940.000000,1998.099976,1940.000000,1940.000000,1844.498291,89264
2020-01-14,1900.000000,1985.000000,1840.000000,1900.000000,1806.467407,99688
2020-01-15,1898.000000,1985.000000,1806.099976,1898.000000,1804.565918,142742
2020-01-16,1875.000000,1880.000000,1841.099976,1875.000000,1782.697998,151686
2020-01-17,1856.000000,1874.000000,1841.099976,1856.000000,1764.633423,131564
2020-01-20,1835.099976,1874.000000,1829.400024,1835.099976,1744.762329,34640
2020-01-21,1780.000000,1848.400024,1755.000000,1780.000000,1692.374878,80051
2020-01-22,1739.000000,1780.000000,1729.900024,1734.099976,1648.734375,7534
2020-01-23,1750.000000,1795.900024,1711.000000,1750.699951,1664.517212,11383
2020-01-24,1800.000000,1800.000000,1750.000000,1800.000000,1711.390259,145924
2020-01-27,1795.000000,1820.000000,1730.199951,1795.000000,1706.636353,89465
2020-01-28,1805.000000,1839.000000,1760.000000,1805.000000,1716.144043,93875
2020-01-29,1810.000000,1810.000000,1758.500000,1810.000000,1720.897949,104260
2020-01-30,1810.000000,1810.000000,1742.000000,1810.000000,1720.897949,59078
2020-01-31,1830.000000,1857.000000,1790.000000,1830.000000,1739.913330,341611
